exp	model	Grammaticality	Clause	count	mean_ci_lower	mean	mean_ci_upper	ContainsZero	direction	Training Type	Model Size
exp1	DialoGPT-large	gram	appos	48	0.0676	0.1107	0.1543	no	positive	Dialogue	762M
exp1	DialoGPT-large	gram	restr	48	0.1298	0.1918	0.2536	no	positive	Dialogue	762M
exp1	DialoGPT-large	ungram	appos	48	-0.6682	-0.5795	-0.4925	no	negative	Dialogue	762M
exp1	DialoGPT-large	ungram	restr	48	-1.0517	-0.9159	-0.7885	no	negative	Dialogue	762M
exp1	DialoGPT-medium	gram	appos	48	0.0134	0.0576	0.1006	no	positive	Dialogue	345M
exp1	DialoGPT-medium	gram	restr	48	0.0958	0.1478	0.198	no	positive	Dialogue	345M
exp1	DialoGPT-medium	ungram	appos	48	-0.7621	-0.6466	-0.5288	no	negative	Dialogue	345M
exp1	DialoGPT-medium	ungram	restr	48	-1.1413	-0.9884	-0.8175	no	negative	Dialogue	345M
exp1	DialoGPT-small	gram	appos	48	-0.3364	-0.1744	-0.0011	no	negative	Dialogue	117M
exp1	DialoGPT-small	gram	restr	48	-0.1435	-0.0324	0.0872	yes	negative	Dialogue	117M
exp1	DialoGPT-small	ungram	appos	48	-2.0528	-1.6357	-1.2742	no	negative	Dialogue	117M
exp1	DialoGPT-small	ungram	restr	48	-2.7978	-2.397	-2.0497	no	negative	Dialogue	117M
exp1	GODEL-base	gram	appos	48	-0.0247	-0.0038	0.0166	yes	negative	Dialogue	220M
exp1	GODEL-base	gram	restr	48	-0.0173	0.0183	0.0537	yes	positive	Dialogue	220M
exp1	GODEL-base	ungram	appos	48	-0.3815	-0.3233	-0.2726	no	negative	Dialogue	220M
exp1	GODEL-base	ungram	restr	48	-0.7114	-0.617	-0.5144	no	negative	Dialogue	220M
exp1	GODEL-large	gram	appos	48	-0.0247	-0.0038	0.0176	yes	negative	Dialogue	770M
exp1	GODEL-large	gram	restr	48	-0.0199	0.0183	0.0568	yes	positive	Dialogue	770M
exp1	GODEL-large	ungram	appos	48	-0.382	-0.3233	-0.2734	no	negative	Dialogue	770M
exp1	GODEL-large	ungram	restr	48	-0.7143	-0.617	-0.5178	no	negative	Dialogue	770M
exp1	GPT-J-6B	gram	appos	48	-0.2013	-0.1258	-0.0502	no	negative	Plain	6B
exp1	GPT-J-6B	gram	restr	48	-0.2787	-0.1905	-0.1029	no	negative	Plain	6B
exp1	GPT-J-6B	ungram	appos	48	-1.4557	-1.2602	-1.0508	no	negative	Plain	6B
exp1	GPT-J-6B	ungram	restr	48	-1.9004	-1.6308	-1.3715	no	negative	Plain	6B
exp1	GPT-Neo-1.3B	gram	appos	48	-0.1215	-0.0704	-0.0225	no	negative	Plain	1.3B
exp1	GPT-Neo-1.3B	gram	restr	48	-0.0625	0.019	0.0995	yes	positive	Plain	1.3B
exp1	GPT-Neo-1.3B	ungram	appos	48	-1.0438	-0.8219	-0.6225	no	negative	Plain	1.3B
exp1	GPT-Neo-1.3B	ungram	restr	48	-1.3533	-1.1495	-0.9043	no	negative	Plain	1.3B
exp1	GPT-Neo-125m	gram	appos	48	-0.0996	-0.0651	-0.0314	no	negative	Plain	125M
exp1	GPT-Neo-125m	gram	restr	48	-0.0237	0.0553	0.1407	yes	positive	Plain	125M
exp1	GPT-Neo-125m	ungram	appos	48	-1.0521	-0.8851	-0.7369	no	negative	Plain	125M
exp1	GPT-Neo-125m	ungram	restr	48	-2.262	-1.9309	-1.6291	no	negative	Plain	125M
exp1	GPT-Neo-2.7B	gram	appos	48	-0.2263	-0.173	-0.1258	no	negative	Plain	2.7B
exp1	GPT-Neo-2.7B	gram	restr	48	-0.2017	-0.0984	0.031	yes	negative	Plain	2.7B
exp1	GPT-Neo-2.7B	ungram	appos	48	-1.4558	-1.1931	-0.9669	no	negative	Plain	2.7B
exp1	GPT-Neo-2.7B	ungram	restr	48	-2.0545	-1.7633	-1.4961	no	negative	Plain	2.7B
exp1	GPT2-XL	gram	appos	48	-0.2047	-0.1279	-0.0661	no	negative	Plain	1.5B
exp1	GPT2-XL	gram	restr	48	-0.1907	-0.1309	-0.0752	no	negative	Plain	1.5B
exp1	GPT2-XL	ungram	appos	48	-0.8876	-0.6804	-0.4954	no	negative	Plain	1.5B
exp1	GPT2-XL	ungram	restr	48	-0.8833	-0.7473	-0.6123	no	negative	Plain	1.5B
exp1	GPT2-large	gram	appos	48	-0.0883	-0.0467	-0.0009	no	negative	Plain	774M
exp1	GPT2-large	gram	restr	48	-0.1389	-0.0881	-0.0336	no	negative	Plain	774M
exp1	GPT2-large	ungram	appos	48	-0.682	-0.5354	-0.4086	no	negative	Plain	774M
exp1	GPT2-large	ungram	restr	48	-0.7953	-0.6473	-0.5005	no	negative	Plain	774M
exp1	GPT2-medium	gram	appos	48	-0.0841	-0.0486	-0.0152	no	negative	Plain	355M
exp1	GPT2-medium	gram	restr	48	0.0044	0.0398	0.077	no	positive	Plain	355M
exp1	GPT2-medium	ungram	appos	48	-0.4977	-0.3725	-0.2659	no	negative	Plain	355M
exp1	GPT2-medium	ungram	restr	48	-0.6534	-0.5449	-0.4406	no	negative	Plain	355M
exp1	GPT2-small	gram	appos	48	-0.092	-0.0579	-0.0242	no	negative	Plain	124M
exp1	GPT2-small	gram	restr	48	-0.0895	-0.0541	-0.019	no	negative	Plain	124M
exp1	GPT2-small	ungram	appos	48	-0.5759	-0.4696	-0.3809	no	negative	Plain	124M
exp1	GPT2-small	ungram	restr	48	-1.2699	-1.0725	-0.8583	no	negative	Plain	124M
exp1	Llama-2-13B	gram	appos	48	-0.1272	-0.0357	0.0674	yes	negative	Plain	13B
exp1	Llama-2-13B	gram	restr	48	-0.2082	-0.0625	0.0505	yes	negative	Plain	13B
exp1	Llama-2-13B	ungram	appos	48	-1.3517	-1.1332	-0.908	no	negative	Plain	13B
exp1	Llama-2-13B	ungram	restr	48	-1.822	-1.5496	-1.2741	no	negative	Plain	13B
exp1	Llama-2-13B-Chat	gram	appos	48	-0.2738	-0.1608	-0.0512	no	negative	Instruct	13B
exp1	Llama-2-13B-Chat	gram	restr	48	-0.3301	-0.1637	-0.0051	no	negative	Instruct	13B
exp1	Llama-2-13B-Chat	ungram	appos	48	-1.3109	-1.1041	-0.9003	no	negative	Instruct	13B
exp1	Llama-2-13B-Chat	ungram	restr	48	-1.4757	-1.2409	-0.9973	no	negative	Instruct	13B
exp1	Llama-2-7B	gram	appos	48	-0.1418	-0.0649	0.0201	yes	negative	Plain	7B
exp1	Llama-2-7B	gram	restr	48	-0.2299	-0.1445	-0.0532	no	negative	Plain	7B
exp1	Llama-2-7B	ungram	appos	48	-1.2859	-1.0603	-0.8358	no	negative	Plain	7B
exp1	Llama-2-7B	ungram	restr	48	-1.4873	-1.2481	-1.0126	no	negative	Plain	7B
exp1	Llama-2-7B-Chat	gram	appos	48	-0.3017	-0.1913	-0.086	no	negative	Instruct	7B
exp1	Llama-2-7B-Chat	gram	restr	48	-0.3842	-0.2283	-0.0795	no	negative	Instruct	7B
exp1	Llama-2-7B-Chat	ungram	appos	48	-1.0235	-0.8668	-0.7082	no	negative	Instruct	7B
exp1	Llama-2-7B-Chat	ungram	restr	48	-1.4358	-1.2002	-0.9629	no	negative	Instruct	7B
exp1	Llama-3-8B	gram	appos	48	-0.1245	-0.049	0.0373	yes	negative	Plain	8B
exp1	Llama-3-8B	gram	restr	48	-0.1079	0.0014	0.1024	yes	positive	Plain	8B
exp1	Llama-3-8B	ungram	appos	48	-1.7304	-1.4498	-1.1756	no	negative	Plain	8B
exp1	Llama-3-8B	ungram	restr	48	-2.016	-1.6876	-1.3601	no	negative	Plain	8B
exp1	Llama-3-8B-Instruct	gram	appos	48	-0.2242	-0.1311	-0.0352	no	negative	Instruct	8B
exp1	Llama-3-8B-Instruct	gram	restr	48	-0.3128	-0.15	-0.02	no	negative	Instruct	8B
exp1	Llama-3-8B-Instruct	ungram	appos	48	-1.165	-0.9508	-0.7325	no	negative	Instruct	8B
exp1	Llama-3-8B-Instruct	ungram	restr	48	-1.8267	-1.4681	-1.1434	no	negative	Instruct	8B
exp1	Llama-3.1-8B	gram	appos	48	-0.1234	-0.0409	0.0546	yes	negative	Plain	8B
exp1	Llama-3.1-8B	gram	restr	48	-0.1265	-0.0099	0.1052	yes	negative	Plain	8B
exp1	Llama-3.1-8B	ungram	appos	48	-1.5678	-1.3003	-1.0328	no	negative	Plain	8B
exp1	Llama-3.1-8B	ungram	restr	48	-1.9932	-1.6887	-1.3821	no	negative	Plain	8B
exp1	Llama-3.1-8B-Instruct	gram	appos	48	-0.1673	-0.1046	-0.0503	no	negative	Instruct	8B
exp1	Llama-3.1-8B-Instruct	gram	restr	48	-0.158	-0.0526	0.0591	yes	negative	Instruct	8B
exp1	Llama-3.1-8B-Instruct	ungram	appos	48	-1.0495	-0.8669	-0.694	no	negative	Instruct	8B
exp1	Llama-3.1-8B-Instruct	ungram	restr	48	-1.6153	-1.2532	-0.9238	no	negative	Instruct	8B
exp1	Mistral-7B-Instruct-v0.1	gram	appos	48	-0.3105	-0.2185	-0.1196	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.1	gram	restr	48	-0.2493	-0.144	-0.0331	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.1	ungram	appos	48	-0.8596	-0.6997	-0.5336	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.1	ungram	restr	48	-1.1857	-0.9593	-0.7409	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.2	gram	appos	48	-0.3049	-0.2111	-0.1247	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.2	gram	restr	48	-0.3681	-0.1532	0.1194	yes	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.2	ungram	appos	48	-1.6472	-1.3395	-1.0513	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.2	ungram	restr	48	-2.2474	-1.8195	-1.3578	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.3	gram	appos	48	-0.1894	-0.1234	-0.0543	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.3	gram	restr	48	-0.2655	-0.143	-0.0282	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.3	ungram	appos	48	-1.723	-1.4033	-1.1249	no	negative	Instruct	7B
exp1	Mistral-7B-Instruct-v0.3	ungram	restr	48	-2.3536	-1.9884	-1.5871	no	negative	Instruct	7B
exp1	Mistral-7B-v0.1	gram	appos	48	-0.175	-0.0983	-0.0199	no	negative	Plain	7B
exp1	Mistral-7B-v0.1	gram	restr	48	-0.1565	-0.0571	0.0435	yes	negative	Plain	7B
exp1	Mistral-7B-v0.1	ungram	appos	48	-1.5535	-1.2764	-1.0172	no	negative	Plain	7B
exp1	Mistral-7B-v0.1	ungram	restr	48	-2.2763	-1.8971	-1.5209	no	negative	Plain	7B
exp1	Mistral-7B-v0.3	gram	appos	48	-0.1737	-0.0924	0.0068	yes	negative	Plain	7B
exp1	Mistral-7B-v0.3	gram	restr	48	-0.1554	-0.0413	0.0679	yes	negative	Plain	7B
exp1	Mistral-7B-v0.3	ungram	appos	48	-1.6239	-1.3209	-1.0555	no	negative	Plain	7B
exp1	Mistral-7B-v0.3	ungram	restr	48	-2.4781	-2.0679	-1.6747	no	negative	Plain	7B
exp2	DialoGPT-large	gram	appos	48	-0.5593	-0.4089	-0.2484	no	negative	Dialogue	762M
exp2	DialoGPT-large	gram	restr	48	-0.1941	-0.0061	0.1966	yes	negative	Dialogue	762M
exp2	DialoGPT-large	ungram	appos	48	-0.4618	-0.3097	-0.1598	no	negative	Dialogue	762M
exp2	DialoGPT-large	ungram	restr	48	-0.1663	-0.0335	0.1096	yes	negative	Dialogue	762M
exp2	DialoGPT-medium	gram	appos	48	0.0962	0.3401	0.5775	no	positive	Dialogue	345M
exp2	DialoGPT-medium	gram	restr	48	0.2016	0.4032	0.6398	no	positive	Dialogue	345M
exp2	DialoGPT-medium	ungram	appos	48	-0.3823	-0.2162	-0.0229	no	negative	Dialogue	345M
exp2	DialoGPT-medium	ungram	restr	48	-0.5271	-0.375	-0.2021	no	negative	Dialogue	345M
exp2	DialoGPT-small	gram	appos	48	-1.5218	-0.7387	-0.019	no	negative	Dialogue	117M
exp2	DialoGPT-small	gram	restr	48	-0.3743	0.3024	0.9901	yes	positive	Dialogue	117M
exp2	DialoGPT-small	ungram	appos	48	-1.8905	-1.3149	-0.7532	no	negative	Dialogue	117M
exp2	DialoGPT-small	ungram	restr	48	-1.5784	-1.0939	-0.6492	no	negative	Dialogue	117M
exp2	GODEL-base	gram	appos	48	0.0516	0.3886	0.7321	no	positive	Dialogue	220M
exp2	GODEL-base	gram	restr	48	0.2839	0.711	1.1549	no	positive	Dialogue	220M
exp2	GODEL-base	ungram	appos	48	-0.4517	-0.1563	0.1671	yes	negative	Dialogue	220M
exp2	GODEL-base	ungram	restr	48	-0.9429	-0.6045	-0.2499	no	negative	Dialogue	220M
exp2	GODEL-large	gram	appos	48	0.0229	0.3886	0.7733	no	positive	Dialogue	770M
exp2	GODEL-large	gram	restr	48	0.2761	0.711	1.1556	no	positive	Dialogue	770M
exp2	GODEL-large	ungram	appos	48	-0.4761	-0.1563	0.1802	yes	negative	Dialogue	770M
exp2	GODEL-large	ungram	restr	48	-0.962	-0.6045	-0.213	no	negative	Dialogue	770M
exp2	GPT-J-6B	gram	appos	48	-0.602	-0.3407	-0.0802	no	negative	Plain	6B
exp2	GPT-J-6B	gram	restr	48	-1.0159	-0.6611	-0.3307	no	negative	Plain	6B
exp2	GPT-J-6B	ungram	appos	48	-1.5681	-1.2725	-0.9834	no	negative	Plain	6B
exp2	GPT-J-6B	ungram	restr	48	-2.4901	-2.0136	-1.5847	no	negative	Plain	6B
exp2	GPT-Neo-1.3B	gram	appos	48	-0.5556	-0.2031	0.1718	yes	negative	Plain	1.3B
exp2	GPT-Neo-1.3B	gram	restr	48	-0.5389	-0.0585	0.4934	yes	negative	Plain	1.3B
exp2	GPT-Neo-1.3B	ungram	appos	48	-1.4359	-1.1363	-0.8171	no	negative	Plain	1.3B
exp2	GPT-Neo-1.3B	ungram	restr	48	-1.4538	-1.0915	-0.7129	no	negative	Plain	1.3B
exp2	GPT-Neo-125m	gram	appos	48	0.012	0.3931	0.7596	no	positive	Plain	125M
exp2	GPT-Neo-125m	gram	restr	48	0.0918	0.4187	0.7614	no	positive	Plain	125M
exp2	GPT-Neo-125m	ungram	appos	48	-0.9375	-0.6645	-0.3804	no	negative	Plain	125M
exp2	GPT-Neo-125m	ungram	restr	48	-1.059	-0.7633	-0.439	no	negative	Plain	125M
exp2	GPT-Neo-2.7B	gram	appos	48	-0.3942	-0.1533	0.0958	yes	negative	Plain	2.7B
exp2	GPT-Neo-2.7B	gram	restr	48	-0.7428	-0.3298	0.095	yes	negative	Plain	2.7B
exp2	GPT-Neo-2.7B	ungram	appos	48	-0.7537	-0.4848	-0.2066	no	negative	Plain	2.7B
exp2	GPT-Neo-2.7B	ungram	restr	48	-0.9106	-0.6088	-0.3001	no	negative	Plain	2.7B
exp2	GPT2-XL	gram	appos	48	-0.5873	-0.2767	0.0426	yes	negative	Plain	1.5B
exp2	GPT2-XL	gram	restr	48	-0.9139	-0.545	-0.1759	no	negative	Plain	1.5B
exp2	GPT2-XL	ungram	appos	48	-1.0836	-0.8024	-0.5161	no	negative	Plain	1.5B
exp2	GPT2-XL	ungram	restr	48	-1.5379	-1.205	-0.8664	no	negative	Plain	1.5B
exp2	GPT2-large	gram	appos	48	-0.4583	-0.1746	0.1318	yes	negative	Plain	774M
exp2	GPT2-large	gram	restr	48	-0.6086	-0.2399	0.0967	yes	negative	Plain	774M
exp2	GPT2-large	ungram	appos	48	-0.7879	-0.5025	-0.1779	no	negative	Plain	774M
exp2	GPT2-large	ungram	restr	48	-1.2009	-0.8982	-0.6131	no	negative	Plain	774M
exp2	GPT2-medium	gram	appos	48	-0.5803	-0.2437	0.1715	yes	negative	Plain	355M
exp2	GPT2-medium	gram	restr	48	-0.5842	-0.1951	0.1866	yes	negative	Plain	355M
exp2	GPT2-medium	ungram	appos	48	-1.3309	-1.0039	-0.6175	no	negative	Plain	355M
exp2	GPT2-medium	ungram	restr	48	-1.5208	-1.1723	-0.7765	no	negative	Plain	355M
exp2	GPT2-small	gram	appos	48	-0.2703	0.0339	0.3384	yes	positive	Plain	124M
exp2	GPT2-small	gram	restr	48	-0.5719	-0.2478	0.113	yes	negative	Plain	124M
exp2	GPT2-small	ungram	appos	48	-1.0798	-0.8455	-0.6062	no	negative	Plain	124M
exp2	GPT2-small	ungram	restr	48	-1.6671	-1.3672	-1.0725	no	negative	Plain	124M
