exp	model	Grammaticality	Training Type	Model Size	RRC Direction	ARC Direction	RRC Compared to ARC	overlaps
exp1	DialoGPT-large	gram	Dialogue	762M	positive	positive	greater	yes
exp1	DialoGPT-large	ungram	Dialogue	762M	negative	negative	less	no
exp1	DialoGPT-medium	gram	Dialogue	345M	positive	positive	greater	yes
exp1	DialoGPT-medium	ungram	Dialogue	345M	negative	negative	less	no
exp1	DialoGPT-small	gram	Dialogue	117M	negative	negative	greater	yes
exp1	DialoGPT-small	ungram	Dialogue	117M	negative	negative	less	yes
exp1	GODEL-base	gram	Dialogue	220M	positive	negative	greater	yes
exp1	GODEL-base	ungram	Dialogue	220M	negative	negative	less	no
exp1	GODEL-large	gram	Dialogue	770M	positive	negative	greater	yes
exp1	GODEL-large	ungram	Dialogue	770M	negative	negative	less	no
exp1	GPT-J-6B	gram	Plain	6B	negative	negative	less	yes
exp1	GPT-J-6B	ungram	Plain	6B	negative	negative	less	yes
exp1	GPT-Neo-1.3B	gram	Plain	1.3B	positive	negative	greater	yes
exp1	GPT-Neo-1.3B	ungram	Plain	1.3B	negative	negative	less	yes
exp1	GPT-Neo-125m	gram	Plain	125M	positive	negative	greater	no
exp1	GPT-Neo-125m	ungram	Plain	125M	negative	negative	less	no
exp1	GPT-Neo-2.7B	gram	Plain	2.7B	negative	negative	greater	yes
exp1	GPT-Neo-2.7B	ungram	Plain	2.7B	negative	negative	less	no
exp1	GPT2-XL	gram	Plain	1.5B	negative	negative	less	yes
exp1	GPT2-XL	ungram	Plain	1.5B	negative	negative	less	yes
exp1	GPT2-large	gram	Plain	774M	negative	negative	less	yes
exp1	GPT2-large	ungram	Plain	774M	negative	negative	less	yes
exp1	GPT2-medium	gram	Plain	355M	positive	negative	greater	no
exp1	GPT2-medium	ungram	Plain	355M	negative	negative	less	yes
exp1	GPT2-small	gram	Plain	124M	negative	negative	greater	yes
exp1	GPT2-small	ungram	Plain	124M	negative	negative	less	no
exp1	Llama-2-13B	gram	Plain	13B	negative	negative	less	yes
exp1	Llama-2-13B	ungram	Plain	13B	negative	negative	less	yes
exp1	Llama-2-13B-Chat	gram	Instruct	13B	negative	negative	less	yes
exp1	Llama-2-13B-Chat	ungram	Instruct	13B	negative	negative	less	yes
exp1	Llama-2-7B	gram	Plain	7B	negative	negative	less	yes
exp1	Llama-2-7B	ungram	Plain	7B	negative	negative	less	yes
exp1	Llama-2-7B-Chat	gram	Instruct	7B	negative	negative	less	yes
exp1	Llama-2-7B-Chat	ungram	Instruct	7B	negative	negative	less	yes
exp1	Llama-3-8B	gram	Plain	8B	positive	negative	greater	yes
exp1	Llama-3-8B	ungram	Plain	8B	negative	negative	less	yes
exp1	Llama-3-8B-Instruct	gram	Instruct	8B	negative	negative	less	yes
exp1	Llama-3-8B-Instruct	ungram	Instruct	8B	negative	negative	less	yes
exp1	Llama-3.1-8B	gram	Plain	8B	negative	negative	greater	yes
exp1	Llama-3.1-8B	ungram	Plain	8B	negative	negative	less	yes
exp1	Llama-3.1-8B-Instruct	gram	Instruct	8B	negative	negative	greater	yes
exp1	Llama-3.1-8B-Instruct	ungram	Instruct	8B	negative	negative	less	yes
exp1	Mistral-7B-Instruct-v0.1	gram	Instruct	7B	negative	negative	greater	yes
exp1	Mistral-7B-Instruct-v0.1	ungram	Instruct	7B	negative	negative	less	yes
exp1	Mistral-7B-Instruct-v0.2	gram	Instruct	7B	negative	negative	greater	yes
exp1	Mistral-7B-Instruct-v0.2	ungram	Instruct	7B	negative	negative	less	yes
exp1	Mistral-7B-Instruct-v0.3	gram	Instruct	7B	negative	negative	less	yes
exp1	Mistral-7B-Instruct-v0.3	ungram	Instruct	7B	negative	negative	less	yes
exp1	Mistral-7B-v0.1	gram	Plain	7B	negative	negative	greater	yes
exp1	Mistral-7B-v0.1	ungram	Plain	7B	negative	negative	less	yes
exp1	Mistral-7B-v0.3	gram	Plain	7B	negative	negative	greater	yes
exp1	Mistral-7B-v0.3	ungram	Plain	7B	negative	negative	less	no
exp2	DialoGPT-large	gram	Dialogue	762M	negative	negative	greater	no
exp2	DialoGPT-large	ungram	Dialogue	762M	negative	negative	greater	yes
exp2	DialoGPT-medium	gram	Dialogue	345M	positive	positive	greater	yes
exp2	DialoGPT-medium	ungram	Dialogue	345M	negative	negative	less	yes
exp2	DialoGPT-small	gram	Dialogue	117M	positive	negative	greater	yes
exp2	DialoGPT-small	ungram	Dialogue	117M	negative	negative	greater	yes
exp2	GODEL-base	gram	Dialogue	220M	positive	positive	greater	yes
exp2	GODEL-base	ungram	Dialogue	220M	negative	negative	less	yes
exp2	GODEL-large	gram	Dialogue	770M	positive	positive	greater	yes
exp2	GODEL-large	ungram	Dialogue	770M	negative	negative	less	yes
exp2	GPT-J-6B	gram	Plain	6B	negative	negative	less	yes
exp2	GPT-J-6B	ungram	Plain	6B	negative	negative	less	no
exp2	GPT-Neo-1.3B	gram	Plain	1.3B	negative	negative	greater	yes
exp2	GPT-Neo-1.3B	ungram	Plain	1.3B	negative	negative	greater	yes
exp2	GPT-Neo-125m	gram	Plain	125M	positive	positive	greater	yes
exp2	GPT-Neo-125m	ungram	Plain	125M	negative	negative	less	yes
exp2	GPT-Neo-2.7B	gram	Plain	2.7B	negative	negative	less	yes
exp2	GPT-Neo-2.7B	ungram	Plain	2.7B	negative	negative	less	yes
exp2	GPT2-XL	gram	Plain	1.5B	negative	negative	less	yes
exp2	GPT2-XL	ungram	Plain	1.5B	negative	negative	less	yes
exp2	GPT2-large	gram	Plain	774M	negative	negative	less	yes
exp2	GPT2-large	ungram	Plain	774M	negative	negative	less	yes
exp2	GPT2-medium	gram	Plain	355M	negative	negative	greater	yes
exp2	GPT2-medium	ungram	Plain	355M	negative	negative	less	yes
exp2	GPT2-small	gram	Plain	124M	negative	positive	less	yes
exp2	GPT2-small	ungram	Plain	124M	negative	negative	less	yes
exp2	Llama-2-13B	gram	Plain	13B	negative	negative	less	yes
exp2	Llama-2-13B	ungram	Plain	13B	negative	negative	less	yes
exp2	Llama-2-13B-Chat	gram	Instruct	13B	negative	negative	greater	yes
exp2	Llama-2-13B-Chat	ungram	Instruct	13B	negative	negative	greater	yes
exp2	Llama-2-7B	gram	Plain	7B	negative	negative	greater	yes
exp2	Llama-2-7B	ungram	Plain	7B	negative	negative	greater	yes
exp2	Llama-2-7B-Chat	gram	Instruct	7B	negative	negative	greater	yes
exp2	Llama-2-7B-Chat	ungram	Instruct	7B	negative	negative	less	yes
exp2	Llama-3-8B	gram	Plain	8B	negative	negative	less	yes
exp2	Llama-3-8B	ungram	Plain	8B	negative	negative	less	yes
exp2	Llama-3-8B-Instruct	gram	Instruct	8B	negative	negative	greater	yes
exp2	Llama-3-8B-Instruct	ungram	Instruct	8B	negative	negative	less	yes
exp2	Llama-3.1-8B	gram	Plain	8B	negative	negative	less	yes
exp2	Llama-3.1-8B	ungram	Plain	8B	negative	negative	less	yes
exp2	Llama-3.1-8B-Instruct	gram	Instruct	8B	negative	negative	greater	yes
exp2	Llama-3.1-8B-Instruct	ungram	Instruct	8B	negative	negative	greater	yes
exp2	Mistral-7B-Instruct-v0.1	gram	Instruct	7B	negative	negative	greater	yes
exp2	Mistral-7B-Instruct-v0.1	ungram	Instruct	7B	negative	negative	less	yes
exp2	Mistral-7B-Instruct-v0.2	gram	Instruct	7B	negative	negative	less	yes
exp2	Mistral-7B-Instruct-v0.2	ungram	Instruct	7B	negative	negative	less	yes
exp2	Mistral-7B-Instruct-v0.3	gram	Instruct	7B	negative	negative	less	yes
exp2	Mistral-7B-Instruct-v0.3	ungram	Instruct	7B	negative	negative	less	no
exp2	Mistral-7B-v0.1	gram	Plain	7B	negative	negative	less	yes
exp2	Mistral-7B-v0.1	ungram	Plain	7B	negative	negative	less	no
exp2	Mistral-7B-v0.3	gram	Plain	7B	negative	negative	less	yes
exp2	Mistral-7B-v0.3	ungram	Plain	7B	negative	negative	less	no
exp3	DialoGPT-large	gram	Dialogue	762M	positive	negative	greater	yes
exp3	DialoGPT-large	ungram	Dialogue	762M	negative	negative	greater	yes
exp3	DialoGPT-medium	gram	Dialogue	345M	positive	positive	less	yes
exp3	DialoGPT-medium	ungram	Dialogue	345M	negative	negative	less	yes
exp3	DialoGPT-small	gram	Dialogue	117M	positive	positive	greater	yes
exp3	DialoGPT-small	ungram	Dialogue	117M	negative	negative	greater	yes
exp3	GODEL-base	gram	Dialogue	220M	positive	positive	less	yes
exp3	GODEL-base	ungram	Dialogue	220M	negative	negative	less	yes
exp3	GODEL-large	gram	Dialogue	770M	positive	positive	less	yes
exp3	GODEL-large	ungram	Dialogue	770M	negative	negative	less	yes
exp3	GPT-J-6B	gram	Plain	6B	negative	negative	less	yes
exp3	GPT-J-6B	ungram	Plain	6B	negative	negative	less	yes
exp3	GPT-Neo-1.3B	gram	Plain	1.3B	negative	negative	less	yes
exp3	GPT-Neo-1.3B	ungram	Plain	1.3B	negative	negative	greater	yes
exp3	GPT-Neo-125m	gram	Plain	125M	negative	positive	less	yes
exp3	GPT-Neo-125m	ungram	Plain	125M	negative	negative	greater	yes
exp3	GPT-Neo-2.7B	gram	Plain	2.7B	negative	negative	greater	yes
exp3	GPT-Neo-2.7B	ungram	Plain	2.7B	negative	negative	greater	yes
exp3	GPT2-XL	gram	Plain	1.5B	negative	negative	less	yes
exp3	GPT2-XL	ungram	Plain	1.5B	negative	negative	greater	yes
exp3	GPT2-large	gram	Plain	774M	negative	negative	greater	yes
exp3	GPT2-large	ungram	Plain	774M	negative	negative	greater	yes
exp3	GPT2-medium	gram	Plain	355M	negative	negative	greater	yes
exp3	GPT2-medium	ungram	Plain	355M	negative	negative	greater	yes
exp3	GPT2-small	gram	Plain	124M	positive	positive	less	yes
exp3	GPT2-small	ungram	Plain	124M	negative	negative	less	yes
exp3	Llama-2-13B	gram	Plain	13B	negative	negative	greater	yes
exp3	Llama-2-13B	ungram	Plain	13B	negative	negative	greater	yes
exp3	Llama-2-13B-Chat	gram	Instruct	13B	negative	negative	greater	yes
exp3	Llama-2-13B-Chat	ungram	Instruct	13B	negative	negative	greater	yes
exp3	Llama-2-7B	gram	Plain	7B	negative	negative	greater	yes
exp3	Llama-2-7B	ungram	Plain	7B	negative	negative	greater	yes
exp3	Llama-2-7B-Chat	gram	Instruct	7B	negative	negative	greater	yes
exp3	Llama-2-7B-Chat	ungram	Instruct	7B	negative	negative	greater	yes
exp3	Llama-3-8B	gram	Plain	8B	negative	negative	greater	yes
exp3	Llama-3-8B	ungram	Plain	8B	negative	negative	greater	yes
exp3	Llama-3-8B-Instruct	gram	Instruct	8B	negative	negative	greater	yes
exp3	Llama-3-8B-Instruct	ungram	Instruct	8B	negative	negative	greater	yes
exp3	Llama-3.1-8B	gram	Plain	8B	negative	negative	greater	yes
exp3	Llama-3.1-8B	ungram	Plain	8B	negative	negative	greater	yes
exp3	Llama-3.1-8B-Instruct	gram	Instruct	8B	negative	negative	greater	yes
exp3	Llama-3.1-8B-Instruct	ungram	Instruct	8B	negative	negative	greater	no
exp3	Mistral-7B-Instruct-v0.1	gram	Instruct	7B	negative	negative	less	yes
exp3	Mistral-7B-Instruct-v0.1	ungram	Instruct	7B	negative	negative	greater	yes
exp3	Mistral-7B-Instruct-v0.2	gram	Instruct	7B	negative	negative	greater	yes
exp3	Mistral-7B-Instruct-v0.2	ungram	Instruct	7B	negative	negative	greater	yes
exp3	Mistral-7B-Instruct-v0.3	gram	Instruct	7B	negative	negative	greater	yes
exp3	Mistral-7B-Instruct-v0.3	ungram	Instruct	7B	negative	negative	less	yes
exp3	Mistral-7B-v0.1	gram	Plain	7B	negative	negative	greater	yes
exp3	Mistral-7B-v0.1	ungram	Plain	7B	negative	negative	greater	yes
exp3	Mistral-7B-v0.3	gram	Plain	7B	negative	negative	greater	yes
exp3	Mistral-7B-v0.3	ungram	Plain	7B	negative	negative	greater	yes
